Mileage_kmpl,Price_Lakhs
10.0,4.0
10.3,4.15
10.6,4.3
10.9,4.45
11.2,4.6
11.5,4.75
11.8,4.9
12.1,5.05
12.4,5.2
12.7,5.35
13.0,5.5
13.3,5.65
13.6,5.8
13.9,5.95
14.2,6.1
14.5,6.25
14.8,6.4
15.1,6.55
15.399999999999999,6.699999999999999
15.7,6.85
16.0,7.0
16.3,7.15
16.6,7.3
16.9,7.449999999999999
17.2,7.6
17.5,7.75
17.8,7.9
18.1,8.05
18.4,8.2
18.7,8.35
19.0,8.5
19.299999999999997,8.649999999999999
19.6,8.8
19.9,8.95
20.2,9.1
20.5,9.25
20.799999999999997,9.399999999999999
21.1,9.55
21.4,9.7
21.7,9.85
22.0,10.0
22.299999999999997,10.149999999999999
22.6,10.3
22.9,10.45
23.2,10.6
23.5,10.75
23.799999999999997,10.899999999999999
24.1,11.05
24.4,11.2
24.7,11.35
25.0,11.5
25.299999999999997,11.649999999999999
25.6,11.8
25.9,11.95
26.2,12.1
26.5,12.25
26.8,12.4
27.099999999999998,12.549999999999999
27.4,12.7
27.7,12.85
28.0,13.0
28.3,13.15
28.599999999999998,13.299999999999999
28.9,13.45
29.2,13.6
29.5,13.75
29.8,13.9
30.099999999999998,14.049999999999999
30.4,14.2
30.7,14.35
31.0,14.5
31.3,14.65
31.599999999999998,14.799999999999999
31.9,14.95
32.2,15.1
32.5,15.25
32.8,15.4
33.099999999999994,15.549999999999999
33.4,15.7
33.7,15.85
34.0,16.0
34.3,16.15
34.599999999999994,16.299999999999997
34.9,16.45
35.2,16.6
35.5,16.75
35.8,16.9
36.099999999999994,17.049999999999997
36.4,17.2
36.7,17.35
37.0,17.5
37.3,17.65
37.599999999999994,17.799999999999997
37.9,17.95
38.2,18.1
38.5,18.25
38.8,18.4
39.099999999999994,18.549999999999997
39.4,18.7
39.7,18.85
